quiz_id,item_key,label,answer,category,accept,extra_json
"rika-shigeki-hannou","q-01","光・音・温度など、動物が外界から受け取る変化を何というか。","刺激","刺激と反応","",""
"rika-shigeki-hannou","q-02","刺激を受け取り、神経に信号を送る目や耳などの器官を何というか。","感覚器官","感覚器官","",""
"rika-shigeki-hannou","q-03","光を刺激として受け取る感覚器官は何か。","目","感覚器官","眼|め",""
"rika-shigeki-hannou","q-04","目の奥にあり、光の刺激を受け取る細胞がある部分を何というか。","網膜","目","",""
"rika-shigeki-hannou","q-05","目に入る光を屈折させ、網膜に像を結ばせるレンズのような部分を何というか。","水晶体","目","レンズ",""
"rika-shigeki-hannou","q-06","瞳孔の周りにあり、目に入る光の量を調節する部分を何というか。","虹彩","目","",""
"rika-shigeki-hannou","q-07","虹彩の中央にある、光が目の中へ入る穴を何というか。","瞳孔","目","",""
"rika-shigeki-hannou","q-08","音の刺激を受けると振動し、その振動を耳の奥へ伝える膜を何というか。","鼓膜","耳","",""
"rika-shigeki-hannou","q-09","体の回転を感じ取る耳の器官を何というか。","三半規管","耳","",""
"rika-shigeki-hannou","q-10","音の刺激によって生じた信号を脳へ伝える神経を何というか。","聴神経","耳","",""
"rika-shigeki-hannou","q-11","感覚器官が受け取った刺激の信号を、脳や脊髄へ伝える神経を何というか。","感覚神経","神経","",""
"rika-shigeki-hannou","q-12","脳や脊髄からの命令を、筋肉などへ伝える神経を何というか。","運動神経","神経","",""
"rika-shigeki-hannou","q-13","脳と脊髄をまとめて何というか。","中枢神経","神経","",""
"rika-shigeki-hannou","q-14","中枢神経と全身の感覚器官・運動器官をつなぐ神経を何というか。","末しょう神経","神経","末梢神経|まっしょう神経|まっしょうしんけい",""
"rika-shigeki-hannou","q-15","脳の一部で、体の運動の調節や姿勢の保持に関わる部分を何というか。","小脳","脳","",""
"rika-shigeki-hannou","q-16","熱いものに触れたとき、熱いと感じる前に手を引っ込めるような反応を何というか。","反射","反応","",""
"rika-shigeki-hannou","q-17","反射の命令を出す中枢として働くことが多い器官は何か。","脊髄","反射","",""
"rika-shigeki-hannou","q-18","刺激を受けたとき、感覚器官からの信号をもとに行動を判断する脳の部分を何というか。","大脳","脳","",""
"rika-shigeki-hannou","q-19","神経からの命令を受けて、実際に収縮して体を動かす組織を何というか。","筋肉","反応","",""
"rika-shigeki-hannou","q-20","光を受けたとき、瞳孔を小さくして目の中に入る光の量を減らす反応を何というか。","瞳孔反射","反射","",""
